sub_id,user_id,start_date,end_date,price
755099,32536,2020-12-14,2021-06-13,0
719002,7217,2020-08-24,2020-09-08,0
704196,2298,2020-08-05,2020-09-05,0
704551,1579,2020-08-05,2020-09-05,0
713614,7340,2020-08-05,2020-09-05,0
738153,18801,2020-10-23,2020-11-06,0
702539,202,2020-08-05,2020-09-05,0
714616,7283,2020-08-05,2020-09-05,0
715541,7524,2020-08-05,2020-09-05,0
714224,7345,2020-08-05,2020-09-05,0
715406,7406,2020-08-05,2020-09-05,0
714431,7407,2020-08-05,2020-09-05,0
715437,7348,2020-08-05,2020-09-05,0
713025,7409,2020-08-05,2020-09-05,0
714897,7590,2020-08-05,2020-09-05,0
713866,7291,2020-08-05,2020-09-05,0
716124,7712,2020-08-05,2020-09-05,0
704597,2073,2020-08-05,2020-09-05,0
712995,7414,2020-08-05,2020-09-05,0
714501,7175,2020-08-05,2020-09-05,0
711551,5136,2020-08-05,2020-09-05,0
715520,7237,2020-08-05,2020-09-05,0
714879,7418,2020-08-05,2020-09-05,0
714199,7359,2020-08-05,2020-09-05,0
711682,7120,2020-08-05,2020-09-05,0
732210,12881,2020-10-19,2020-11-02,0
713685,7362,2020-08-05,2020-09-05,0
711618,7243,2020-08-05,2020-09-05,0
714843,7544,2020-08-05,2021-08-05,0
715596,7365,2020-08-05,2020-09-05,0
714261,7366,2020-08-05,2020-09-05,0
714614,7127,2020-08-05,2020-09-05,0
702544,288,2020-08-05,2020-09-05,0
704092,1729,2020-08-05,2020-09-05,0
714792,7550,2020-08-05,2020-09-05,0
714427,7431,2020-08-05,2020-09-05,0
714188,7372,2020-08-05,2020-09-05,0
712948,7433,2020-08-05,2020-09-05,0
715169,7554,2020-08-05,2021-08-05,0
715174,7495,2020-08-05,2021-08-05,0
703593,1496,2020-08-05,2020-09-05,0
711758,7257,2020-08-05,2020-09-05,0
702386,178,2020-08-05,2021-08-05,0
713812,7379,2020-08-05,2020-09-05,0
713904,7440,2020-08-05,2020-09-05,0
714260,7381,2020-08-05,2020-09-05,0
713703,7322,2020-08-05,2020-09-05,0
715387,7323,2020-08-05,2020-09-05,0
702822,544,2020-08-05,2020-09-05,0
716537,7205,2020-08-05,2020-09-05,0
713887,7206,2020-08-05,2020-09-05,0
714799,7387,2020-08-05,2020-09-05,0
711649,7148,2020-08-05,2020-09-05,0
713793,7389,2020-08-05,2020-09-05,0
713689,7330,2020-08-05,2020-09-05,0
734434,15731,2020-10-20,2020-11-03,0
735537,14592,2020-10-21,2020-11-04,0
714520,7453,2020-08-05,2020-09-05,0
716382,7394,2020-08-05,2020-09-05,0
702454,195,2020-08-05,2020-09-05,0
755125,32596,2020-12-14,2021-05-14,0
720145,5357,2020-09-05,2021-09-05,"7,58"
704245,2358,2020-08-05,2020-09-05,0
704557,1639,2020-08-05,2020-09-05,0
713771,7400,2020-08-05,2020-09-05,0
738179,18861,2020-10-23,2020-11-06,0
702571,262,2020-08-05,2020-09-05,0
714825,7343,2020-08-05,2021-08-05,0
715598,7584,2020-08-05,2020-09-05,0
714301,7405,2020-08-05,2020-09-05,0
715436,7466,2020-08-05,2020-09-05,0
714619,7467,2020-08-05,2020-09-05,0
715527,7408,2020-08-05,2020-09-05,0
713292,7469,2020-08-05,2020-09-05,0
715051,7650,2020-08-05,2020-11-05,0
714159,7351,2020-08-05,2020-09-05,0
716132,7772,2020-08-05,2020-09-05,0
704621,2133,2020-08-05,2020-09-05,0
713055,7474,2020-08-05,2020-09-05,0
714524,7235,2020-08-05,2020-09-05,0
711586,5196,2020-08-05,2020-09-05,0
715535,7297,2020-08-05,2020-09-05,0
714942,7478,2020-08-05,2020-09-05,0
714211,7419,2020-08-05,2020-09-05,0
711701,7180,2020-08-05,2020-09-05,0
732218,12941,2020-10-19,2020-11-02,0
713699,7422,2020-08-05,2020-09-05,0
711689,7303,2020-08-05,2020-09-05,0
714907,7604,2020-08-05,2020-09-05,0
715870,7425,2020-08-05,2020-09-05,0
714288,7426,2020-08-05,2020-09-05,0
714626,7187,2020-08-05,2020-09-05,0
702564,348,2020-08-05,2020-09-05,0
704117,1789,2020-08-05,2020-09-05,0
714819,7610,2020-08-05,2021-08-05,0
714784,7551,2020-08-05,2020-09-05,0
714208,7432,2020-08-05,2020-09-05,0
712977,7493,2020-08-05,2020-09-05,0
717443,8754,2020-08-11,2020-08-26,0
715458,7555,2020-08-05,2020-09-05,0
703750,1556,2020-08-05,2020-09-05,0
712805,7317,2020-08-05,2020-09-05,0
702555,238,2020-08-05,2020-09-05,0
713816,7439,2020-08-05,2020-09-05,0
714436,7500,2020-08-05,2020-09-05,0
714320,7441,2020-08-05,2020-09-05,0
713754,7382,2020-08-05,2020-09-05,0
715408,7383,2020-08-05,2020-09-05,0
702833,604,2020-08-05,2020-09-05,0
716570,7265,2020-08-05,2020-09-05,0
714197,7266,2020-08-05,2020-09-05,0
714817,7447,2020-08-05,2021-08-05,0
711656,7208,2020-08-05,2020-09-05,0
713795,7449,2020-08-05,2020-09-05,0
713800,7390,2020-08-05,2020-09-05,0
734450,15791,2020-10-20,2020-11-03,0
735616,14712,2020-10-21,2020-11-04,0
714835,7573,2020-08-05,2021-08-05,0
716406,7454,2020-08-05,2020-09-05,0
702557,315,2020-08-05,2020-09-05,0
755459,32656,2020-12-18,2021-06-17,0
719532,7157,2020-08-30,2021-08-30,"9,25"
704385,2418,2020-08-05,2020-09-05,0
704636,1699,2020-08-05,2020-09-05,0
713825,7460,2020-08-05,2020-09-05,0
738277,18921,2020-10-23,2020-11-06,0
702580,322,2020-08-05,2020-09-05,0
714883,7403,2020-08-05,2020-09-05,0
715621,7644,2020-08-05,2020-09-05,0
714459,7465,2020-08-05,2020-09-05,0
715442,7526,2020-08-05,2020-09-05,0
714823,7587,2020-08-05,2021-08-05,0
715539,7468,2020-08-05,2020-09-05,0
713373,7529,2020-08-05,2020-09-05,0
715053,7710,2020-08-05,2020-11-05,0
714174,7411,2020-08-05,2020-09-05,0
716196,7832,2020-08-05,2020-09-05,0
704633,2193,2020-08-05,2020-09-05,0
713291,7534,2020-08-05,2020-09-05,0
714635,7355,2020-08-05,2020-09-05,0
711610,5256,2020-08-05,2020-09-05,0
715545,7357,2020-08-05,2020-09-05,0
715041,7538,2020-08-05,2020-11-05,0
714265,7479,2020-08-05,2020-09-05,0
711748,7240,2020-08-05,2020-09-05,0
732354,13001,2020-10-19,2020-11-02,0
713788,7482,2020-08-05,2020-09-05,0
711761,7363,2020-08-05,2020-09-05,0
714943,7664,2020-08-05,2020-09-05,0
715916,7485,2020-08-05,2020-09-05,0
714458,7486,2020-08-05,2020-09-05,0
714891,7487,2020-08-05,2020-09-05,0
702575,408,2020-08-05,2020-09-05,0
704206,1849,2020-08-05,2020-09-05,0
714830,7670,2020-08-05,2021-08-05,0
715021,7611,2020-08-05,2020-11-05,0
714222,7492,2020-08-05,2020-09-05,0
713031,7553,2020-08-05,2020-09-05,0
715318,7614,2020-08-05,2020-09-05,0
715471,7615,2020-08-05,2020-09-05,0
703847,1616,2020-08-05,2020-09-05,0
712834,7377,2020-08-05,2020-09-05,0
702619,298,2020-08-05,2020-09-05,0
713864,7499,2020-08-05,2020-09-05,0
714485,7560,2020-08-05,2020-09-05,0
714440,7501,2020-08-05,2020-09-05,0
714429,7442,2020-08-05,2020-09-05,0
715461,7443,2020-08-05,2020-09-05,0
702899,664,2020-08-05,2020-09-05,0
716621,7325,2020-08-05,2020-09-05,0
714203,7326,2020-08-05,2020-09-05,0
714918,7507,2020-08-05,2020-09-05,0
711732,7268,2020-08-05,2020-09-05,0
714156,7509,2020-08-05,2020-09-05,0
713893,7450,2020-08-05,2020-09-05,0
734547,15851,2020-10-20,2020-11-03,0
735737,14772,2020-10-21,2020-11-04,0
714935,7633,2020-08-05,2020-09-05,0
716414,7514,2020-08-05,2020-09-05,0
702615,375,2020-08-05,2020-09-05,0
755465,32715,2020-12-18,2021-06-17,0
719617,7457,2020-08-30,2020-09-14,0
704389,2478,2020-08-05,2020-09-05,0
704640,1759,2020-08-05,2020-09-05,0
714147,7520,2020-08-05,2020-09-05,0
738430,18981,2020-10-24,2020-11-07,0
702585,382,2020-08-05,2020-09-05,0
714926,7463,2020-08-05,2020-09-05,0
715860,7704,2020-08-05,2020-09-05,0
714559,7525,2020-08-05,2020-09-05,0
715475,7586,2020-08-05,2020-09-05,0
714889,7647,2020-08-05,2020-09-05,0
715577,7528,2020-08-05,2020-09-05,0
713377,7589,2020-08-05,2020-09-05,0
715448,7770,2020-08-05,2020-09-05,0
714187,7471,2020-08-05,2020-09-05,0
716250,7892,2020-08-05,2020-09-05,0
704645,2253,2020-08-05,2020-09-05,0
713303,7594,2020-08-05,2020-09-05,0
714790,7655,2020-08-05,2020-09-05,0
711697,5316,2020-08-05,2020-09-05,0
715583,7417,2020-08-05,2020-09-05,0
715187,7598,2020-08-05,2021-08-05,0
714466,7539,2020-08-05,2020-09-05,0
712822,7300,2020-08-05,2020-09-05,0
732452,13061,2020-10-19,2020-11-02,0
713820,7542,2020-08-05,2020-09-05,0
713350,7423,2020-08-05,2020-09-05,0
715022,7724,2020-08-05,2020-11-05,0
716109,7785,2020-08-05,2020-09-05,0
714464,7546,2020-08-05,2020-09-05,0
715080,7547,2020-08-05,2021-02-05,0
702578,468,2020-08-05,2020-09-05,0
704218,1909,2020-08-05,2020-09-05,0
714846,7730,2020-08-05,2021-08-05,0
715026,7671,2020-08-05,2020-11-05,0
714226,7552,2020-08-05,2020-09-05,0
713316,7613,2020-08-05,2020-09-05,0
715324,7674,2020-08-05,2020-09-05,0
715528,7675,2020-08-05,2020-09-05,0
703897,1676,2020-08-05,2020-09-05,0
712867,7437,2020-08-05,2020-09-05,0
702665,358,2020-08-05,2020-09-05,0
714257,7559,2020-08-05,2020-09-05,0
714646,7620,2020-08-05,2020-09-05,0
714453,7561,2020-08-05,2020-09-05,0
714827,7742,2020-08-05,2021-08-05,0
715467,7503,2020-08-05,2020-09-05,0
702906,724,2020-08-05,2020-09-05,0
716685,7385,2020-08-05,2020-09-05,0
714296,7386,2020-08-05,2020-09-05,0
715117,7627,2020-08-05,2020-11-05,0
712778,7328,2020-08-05,2020-09-05,0
714169,7569,2020-08-05,2020-09-05,0
714185,7510,2020-08-05,2020-09-05,0
734595,15911,2020-10-20,2020-11-03,0
735790,14832,2020-10-21,2020-11-04,0
